environment,model,policy,family,n_bets,mean_p_model,mean_p_market,realised_win_rate,model_minus_realised,roi_pct
close,m05_joint_grw_baseline,P0 Option B,1X2_away,403,0.3262652852163248,0.2712660329636908,0.2655086848635236,0.06075660035280123,7.766783120763535
close,m05_joint_grw_baseline,P0 Option B,1X2_draw,273,0.2493579711754468,0.24430423611736515,0.24175824175824176,0.007599729417205048,3.378298092892948
close,m05_joint_grw_baseline,P0 Option B,1X2_home,310,0.3982133113441796,0.3491665090937082,0.3903225806451613,0.0078907306990183,19.991705913709897
close,m05_joint_grw_baseline,P0 Option B,O/U 1.5_over_15,64,0.7938908463725814,0.7592125773094436,0.75,0.04389084637258145,1.2518908964222746
close,m05_joint_grw_baseline,P0 Option B,O/U 2.5_under_25,197,0.5184005771602038,0.4652473302037603,0.49238578680203043,0.02601479035817339,10.745747769600966
close,m05_joint_grw_baseline,+U0.5,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,7.5987862405146025
close,m05_joint_grw_baseline,+U0.5,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,2.223127671335502
close,m05_joint_grw_baseline,+U0.5,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,20.1560719494534
close,m05_joint_grw_baseline,+U0.5,O/U 0.5_under_05,81,0.08436103898118441,0.06653147460166876,0.037037037037037035,0.047324001944147376,-63.62369621319987
close,m05_joint_grw_baseline,+U0.5,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,1.2156409388122784
close,m05_joint_grw_baseline,+U0.5,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,10.274974978625512
close,m05_joint_grw_baseline,+U1.5,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,7.850028238860267
close,m05_joint_grw_baseline,+U1.5,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,2.0220851877915584
close,m05_joint_grw_baseline,+U1.5,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,20.303806396904495
close,m05_joint_grw_baseline,+U1.5,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,0.979649324870439
close,m05_joint_grw_baseline,+U1.5,O/U 1.5_under_15,105,0.26674230289819834,0.22130856808343877,0.23809523809523808,0.028647064802960254,37.66330018777109
close,m05_joint_grw_baseline,+U1.5,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,10.386337164400347
close,m05_joint_grw_baseline,+U3.5,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,8.14210409984999
close,m05_joint_grw_baseline,+U3.5,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,1.7581839241365664
close,m05_joint_grw_baseline,+U3.5,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,20.516421249153982
close,m05_joint_grw_baseline,+U3.5,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,1.3181063683632297
close,m05_joint_grw_baseline,+U3.5,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,10.958969280651967
close,m05_joint_grw_baseline,+U3.5,O/U 3.5_under_35,99,0.7286054731620858,0.6701091511886812,0.7474747474747475,-0.01886927431266172,2.4327149273554785
close,m05_joint_grw_baseline,+U4.5,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,7.741627326769173
close,m05_joint_grw_baseline,+U4.5,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,1.6722326200086062
close,m05_joint_grw_baseline,+U4.5,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,20.111151546817972
close,m05_joint_grw_baseline,+U4.5,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,1.6857462877309977
close,m05_joint_grw_baseline,+U4.5,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,11.198638096004348
close,m05_joint_grw_baseline,+U4.5,O/U 4.5_under_45,28,0.86072752511232,0.8157910077813699,0.9642857142857143,-0.10355818917339432,18.785391071604973
close,m05_joint_grw_baseline,+O2.5,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,7.672979217035597
close,m05_joint_grw_baseline,+O2.5,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,1.8709215536090793
close,m05_joint_grw_baseline,+O2.5,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,20.27749056480298
close,m05_joint_grw_baseline,+O2.5,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,0.6556758823063741
close,m05_joint_grw_baseline,+O2.5,O/U 2.5_over_25,104,0.5800375390064879,0.5211212589186485,0.5096153846153846,0.07042215439110333,0.8882818200983329
close,m05_joint_grw_baseline,+O2.5,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,9.966053711502482
close,m05_joint_grw_baseline,+O3.5,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,7.179317780727059
close,m05_joint_grw_baseline,+O3.5,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,1.5338392469595048
close,m05_joint_grw_baseline,+O3.5,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,20.303110872709567
close,m05_joint_grw_baseline,+O3.5,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,0.6524780720275718
close,m05_joint_grw_baseline,+O3.5,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,10.303475386578612
close,m05_joint_grw_baseline,+O3.5,O/U 3.5_over_35,120,0.358642277506203,0.3034616467099989,0.36666666666666664,-0.008024389160463663,2.9370897639853415
close,m05_joint_grw_baseline,+O4.5,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,7.735917886360346
close,m05_joint_grw_baseline,+O4.5,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,2.365133332733109
close,m05_joint_grw_baseline,+O4.5,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,19.874285936787466
close,m05_joint_grw_baseline,+O4.5,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,0.8129190568381716
close,m05_joint_grw_baseline,+O4.5,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,10.25861159572294
close,m05_joint_grw_baseline,+O4.5,O/U 4.5_over_45,54,0.18786744359494173,0.15129040177358785,0.09259259259259259,0.09527485100234914,-30.847083188946826
close,m05_joint_grw_baseline,+BTTS_yes,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,7.0377372127506606
close,m05_joint_grw_baseline,+BTTS_yes,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,1.4643923972514739
close,m05_joint_grw_baseline,+BTTS_yes,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,19.752877160366296
close,m05_joint_grw_baseline,+BTTS_yes,BTTS_btts_yes,52,0.5770652690278979,0.5585160221976543,0.5576923076923077,0.01937296133559019,2.0337509825914437
close,m05_joint_grw_baseline,+BTTS_yes,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,1.677954570478684
close,m05_joint_grw_baseline,+BTTS_yes,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,10.732982460680672
close,m05_joint_grw_baseline,+BTTS_no,1X2_away,399,0.32599237251926144,0.2703242260202803,0.2631578947368421,0.06283447778241935,7.826302592060447
close,m05_joint_grw_baseline,+BTTS_no,1X2_draw,278,0.2489959418253594,0.24444140893106098,0.2446043165467626,0.004391625278596795,1.4734277095060753
close,m05_joint_grw_baseline,+BTTS_no,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,20.147394312739753
close,m05_joint_grw_baseline,+BTTS_no,BTTS_btts_no,69,0.4760638203092401,0.44085975058495747,0.42028985507246375,0.05577396523677636,-7.064300013925897
